Character,Frequency
的,48153
他,20556
你,19893
我,19526
们,19087
人,17128
在,13042
和,12431
是,11783
耶,10467
说,9509
不,9395
要,8318
以,8218
就,8142
有,8107
为,7912
了,7881
子,7505
一,7168
华,7037
这,6903
所,6679
上,5798
来,5774
那,5429
必,5284
亚,4919
大,4806
里,4787
神,4724
到,4703
地,4666
因,4503
中,4382
从,4032
去,3904
列,3768
都,3758
也,3753
利,3640
王,3473
使,3341
见,3232
得,3190
儿,3183
行,3037
将,3028
色,2927
给,2890
又,2829
与,2689
可,2674
着,2635
出,2620
约,2534
前,2526
日,2484
对,2465
之,2461
个,2438
撒,2427
西,2421
样,2401
时,2371
事,2348
看,2312
作,2285
如,2254
祭,2195
面,2172
并,2140
心,2134
自,2125
下,2051
用,1976
话,1965
能,1962
拉,1955
知,1943
城,1929
主,1906
把,1892
拿,1892
众,1880
道,1865
基,1839
没,1836
叫,1833
当,1832
起,1822
向,1816
同,1813
听,1770
雅,1770
十,1758
安,1744
手,1687
巴,1671
被,1664
罗,1662
门,1644
法,1643
比,1638
稣,1634
求,1626
路,1613
呢,1607
各,1596
天,1591
住,1588
她,1583
己,1582
若,1565
百,1562
民,1561
切,1548
罪,1547
候,1546
家,1546
生,1528
多,1509
无,1498
死,1464
像,1436
头,1433
此,1431
名,1423
女,1421
回,1413
长,1410
过,1398
于,1384
发,1380
摩,1316
啊,1315
犹,1301
好,1300
圣,1286
玛,1276
后,1274
恶,1272
物,1227
只,1217
告,1201
么,1200
卫,1184
国,1176
打,1174
二,1166
伯,1152
仆,1133
哈,1133
受,1132
离,1129
些,1114
却,1113
年,1110
父,1097
吗,1089
立,1087
其,1078
什,1062
身,1059
吃,1043
间,1039
米,1036
万,1024
亲,1024
先,1020
但,1010
羊,1007
照,1003
做,1002
便,995
司,989
杀,974
还,972
分,970
山,970
爱,969
尼,967
迦,964
四,961
然,961
外,954
成,953
及,952
殿,952
救,950
经,947
三,939
希,937
带,931
直,931
愿,927
开,902
领,902
归,899
赐,896
公,895
而,892
兄,879
哪,878
命,872
信,870
咐,869
献,869
凡,868
进,863
弟,862
何,860
水,859
明,858
孙,852
全,850
士,850
冷,849
伦,847
灭,844
口,832
姓,829
眼,828
两,821
意,817
已,806
处,801
义,800
声,798
埃,797
吩,794
定,793
平,790
守,787
且,783
造,783
未,782
实,776
永,772
会,768
远,768
力,767
应,763
居,762
勒,756
七,745
方,744
斯,740
沙,740
喜,739
往,733
许,732
示,731
活,727
现,723
边,720
谁,717
火,707
正,703
再,693
今,692
诉,691
世,689
督,689
母,686
指,674
野,671
军,670
或,666
五,661
石,658
者,657
福,655
族,653
言,652
押,649
至,647
论,645
老,644
书,639
怒,632
攻,632
交,625
击,624
别,620
律,618
问,616
坛,612
洁,610
妇,608
徒,608
第,606
服,604
倒,603
按,600
站,599
荣,596
加,594
美,594
兰,592
称,588
本,587
理,585
底,582
扫,582
敌,581
高,581
记,579
怎,578
非,577
树,570
灵,569
临,558
随,554
恩,552
马,548
怕,547
音,547
派,544
走,544
放,543
曾,542
苦,542
施,538
属,535
牛,533
金,528
妻,526
业,524
奉,518
内,517
衣,517
净,516
取,515
岂,515
海,514
乐,513
常,512
祖,511
河,510
血,507
答,502
除,501
光,494
等,491
银,491
彼,490
刀,489
满,489
首,489
教,483
难,483
乃,481
坐,480
烧,476
念,473
敬,472
流,472
太,471
千,470
战,468
入,467
洗,464
预,460
存,459
蒙,457
保,454
备,449
耀,449
靠,449
欢,447
它,445
珥,445
仇,440
吧,439
提,436
传,435
害,434
位,433
智,433
次,433
香,431
座,430
争,428
哥,428
慧,428
显,428
赎,427
聚,426
工,423
接,422
近,421
毁,418
围,417
甚,417
留,416
息,415
食,414
脱,412
支,411
气,411
尽,407
脚,406
跟,402
房,401
耳,401
邦,401
器,400
待,400
数,400
东,398
细,396
暗,394
降,394
侍,392
弃,392
犯,392
喝,390
赶,390
相,389
连,389
兵,387
小,386
免,385
既,385
断,383
南,381
夫,381
谢,381
布,379
管,378
逃,378
波,376
动,374
转,374
强,372
望,370
白,368
体,367
想,367
代,365
原,365
果,365
差,363
歌,363
遵,363
酒,363
哀,361
田,359
营,358
誓,357
